county,county_name,district,split
1,Alamance,13,
3,Alexander,5,
5,Alleghany,5,
7,Anson,9,
9,Ashe,5,
11,Avery,11,
13,Beaufort,3,
15,Bertie,1,
17,Bladen,7,
19,Brunswick,7,
21,Buncombe,11,
23,Burke,5,
25,Cabarrus,8,
27,Caldwell,5,
29,Camden,3,
31,Carteret,3,
33,Caswell,13,
35,Catawba,10,
37,Chatham-a,4,y
37,Chatham-b,13,y
39,Cherokee,11,
41,Chowan,3,
43,Clay,11,
45,Cleveland,5,
47,Columbus,7,
49,Craven,3,
51,Cumberland,8,
53,Currituck,3,
55,Dare,3,
57,Davidson,13,
59,Davie,13,
61,Duplin,3,
63,Durham,4,
65,Edgecombe,1,
67,Forsyth-a,6,y
67,Forsyth-b,10,y
69,Franklin,4,
71,Gaston,5,
73,Gates,1,
75,Graham,11,
77,Granville,4,
79,Greene,1,
81,Guilford,6,
83,Halifax,1,
85,Harnett-a,7,y
85,Harnett-b,8,y
87,Haywood,11,
89,Henderson,11,
91,Hertford,1,
93,Hoke,9,
95,Hyde,3,
97,Iredell,10,
99,Jackson,11,
101,Johnston,7,
103,Jones,3,
105,Lee-a,13,y
105,Lee-b,8,y
107,Lenoir,3,
109,Lincoln,10,
111,Mcdowell,11,
113,Macon,11,
115,Madison,11,
117,Martin,1,
119,Mecklenburg-a,9,y
119,Mecklenburg-b,12,y
121,Mitchell,11,
123,Montgomery,8,
125,Moore-a,8,y
125,Moore-b,9,y
127,Nash,1,
129,New Hanover,7,
131,Northampton,1,
133,Onslow,3,
135,Orange,4,
137,Pamlico,3,
139,Pasquotank,3,
141,Pender,7,
143,Perquimans,3,
145,Person,13,
147,Pitt-a,3,y
147,Pitt-b,1,y
149,Polk,11,
151,Randolph,13,
153,Richmond,9,
155,Robeson,9,
157,Rockingham,10,
159,Rowan,13,
161,Rutherford-a,5,y
161,Rutherford-b,11,y
163,Sampson,7,
165,Scotland,9,
167,Stanly,8,
169,Stokes,10,
171,Surry,10,
173,Swain,11,
175,Transylvania,11,
177,Tyrrell,3,
179,Union,9,
181,Vance-a,4,y
181,Vance-b,1,y
183,Wake-a,2,y
183,Wake-b,4,y
185,Warren,1,
187,Washington,1,
189,Watauga,5,
191,Wayne,1,
193,Wilkes,5,
195,Wilson,1,
197,Yadkin,10,
199,Yancey,11,